STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
TAMIL NADU,THIRUNELVELI RURAL,2005,75,108,27,0,27,26,26,0,5,123,1,48,0
TAMIL NADU,THIRUNELVELI URBAN,2005,14,43,2,0,2,10,6,4,1,7,29,6,0
TAMIL NADU,THIRUVALLUR,2005,27,19,15,0,15,21,21,0,14,58,17,24,0
TAMIL NADU,THIRUVANNAMALAI,2005,33,18,26,0,26,35,35,0,5,17,16,53,0
TAMIL NADU,THIRUVARUR,2005,16,20,4,0,4,11,4,7,1,72,21,15,0
TAMIL NADU,THOOTHUGUDI,2005,63,71,17,0,17,25,8,17,3,10,105,59,0
TAMIL NADU,TRICHY RLY.,2005,1,0,0,0,0,0,0,0,0,1,0,1,0
TAMIL NADU,TRICHY RURAL,2005,50,35,19,0,19,53,50,3,7,12,7,43,0
TAMIL NADU,TRICHY URBAN,2005,18,10,1,0,1,7,4,3,2,17,74,23,0
TAMIL NADU,VELLORE,2005,49,32,23,1,22,37,23,14,12,54,0,28,0
TAMIL NADU,VILUPPURAM,2005,68,83,49,0,49,49,49,0,9,50,5,59,0
TAMIL NADU,VIRUDHUNAGAR,2005,31,43,19,0,19,58,50,8,2,45,87,93,0
TAMIL NADU,TOTAL,2005,1440,1759,571,1,570,1029,783,246,215,1764,665,1650,0
TRIPURA,DHALAI,2005,12,5,15,0,15,21,8,13,1,13,0,29,0
TRIPURA,NORTH,2005,27,17,47,0,47,19,11,8,3,44,0,105,0
TRIPURA,SOUTH,2005,21,14,42,0,42,21,12,9,11,65,0,129,0
TRIPURA,WEST,2005,61,20,58,0,58,24,12,12,19,39,1,176,0
TRIPURA,TOTAL,2005,121,56,162,0,162,85,43,42,34,161,1,439,0
UTTAR PRADESH,AGRA,2005,115,126,29,0,29,120,77,43,38,80,162,232,0
UTTAR PRADESH,ALIGARH,2005,176,200,61,0,61,112,84,28,43,38,43,226,0
UTTAR PRADESH,ALLAHABAD,2005,144,118,17,0,17,67,50,17,40,30,47,117,0
UTTAR PRADESH,AMBEDKAR NAGAR,2005,47,41,11,0,11,32,31,1,13,14,9,42,0
UTTAR PRADESH,AURAIYA,2005,55,44,9,0,9,36,22,14,22,15,8,26,0
UTTAR PRADESH,AZAMGARH,2005,84,91,10,0,10,34,32,2,27,26,24,156,0
UTTAR PRADESH,BADAUN,2005,179,182,22,0,22,77,60,17,32,39,22,47,0
UTTAR PRADESH,BAGHPAT,2005,83,69,13,0,13,33,26,7,10,15,19,74,0
UTTAR PRADESH,BAHRAICH,2005,50,43,25,0,25,41,39,2,21,20,38,21,0
UTTAR PRADESH,BALLIA,2005,36,52,2,0,2,8,4,4,12,7,5,11,0
UTTAR PRADESH,BALRAMPUR,2005,16,13,6,0,6,5,5,0,4,9,4,7,0
UTTAR PRADESH,BANDA,2005,65,34,16,0,16,16,10,6,22,32,5,12,0
UTTAR PRADESH,BARABANKI,2005,49,66,30,0,30,35,29,6,21,29,35,59,0
UTTAR PRADESH,BAREILLY,2005,224,209,48,0,48,107,81,26,37,89,74,210,0
UTTAR PRADESH,BASTI,2005,25,20,13,0,13,13,13,0,7,8,20,22,0
UTTAR PRADESH,BIJNOR,2005,62,51,22,0,22,35,26,9,26,26,45,60,0
UTTAR PRADESH,BULANDSHAHAR,2005,198,124,33,0,33,81,60,21,41,62,116,106,0
UTTAR PRADESH,CHANDOLI,2005,29,24,6,0,6,6,3,3,9,5,50,10,0
UTTAR PRADESH,CHITRAKOOT DHAM,2005,23,10,10,0,10,9,0,9,12,12,0,6,0
UTTAR PRADESH,DEORIA,2005,39,36,7,0,7,19,17,2,17,7,5,27,0
UTTAR PRADESH,ETAH,2005,145,183,16,0,16,59,33,26,43,34,26,62,0
UTTAR PRADESH,ETAWAH,2005,67,59,12,0,12,71,28,43,29,20,35,26,0
UTTAR PRADESH,FAIZABAD,2005,55,43,11,0,11,35,33,2,15,13,29,48,0
UTTAR PRADESH,FATEHGARH,2005,70,68,10,0,10,31,20,11,14,7,15,26,0
UTTAR PRADESH,FATEHPUR,2005,92,41,7,0,7,28,18,10,22,11,9,21,0
UTTAR PRADESH,FIROZABAD,2005,122,117,17,0,17,71,44,27,48,16,42,57,0
UTTAR PRADESH,G.R.P.,2005,15,16,3,0,3,4,1,3,1,15,26,0,0
UTTAR PRADESH,GAUTAMBUDH NAGAR,2005,69,58,18,0,18,51,42,9,14,28,43,45,0
UTTAR PRADESH,GHAZIABAD,2005,183,135,24,0,24,103,79,24,33,26,92,147,0
UTTAR PRADESH,GHAZIPUR,2005,48,45,2,0,2,8,3,5,19,7,20,35,0
UTTAR PRADESH,GONDA,2005,31,59,12,0,12,18,15,3,26,14,23,6,0
UTTAR PRADESH,GORAKHPUR,2005,94,67,24,0,24,29,27,2,16,22,25,18,0
UTTAR PRADESH,HAMIRPUR,2005,48,26,9,0,9,14,10,4,6,17,11,10,0
UTTAR PRADESH,HARDOI,2005,91,52,31,0,31,45,32,13,25,51,48,47,0
UTTAR PRADESH,HATHRAS,2005,65,88,12,0,12,29,20,9,20,34,35,86,0
UTTAR PRADESH,J.P.NAGAR,2005,66,40,22,0,22,17,14,3,8,30,40,20,0
UTTAR PRADESH,JALAUN,2005,59,33,3,0,3,14,8,6,21,13,37,17,0
UTTAR PRADESH,JAUNPUR,2005,41,59,13,0,13,24,21,3,26,15,32,40,0
UTTAR PRADESH,JHANSI,2005,50,19,3,0,3,11,9,2,13,14,37,38,0
UTTAR PRADESH,KANNAUJ,2005,61,55,5,0,5,38,27,11,10,20,13,62,0
UTTAR PRADESH,KANPUR DEHAT,2005,49,34,8,0,8,61,44,17,26,32,20,53,0
UTTAR PRADESH,KANPUR NAGAR,2005,150,91,18,0,18,107,90,17,51,43,227,205,0
UTTAR PRADESH,KAUSHAMBI,2005,70,25,9,0,9,11,7,4,13,11,7,21,0
UTTAR PRADESH,KHIRI,2005,131,141,45,0,45,69,58,11,61,55,70,63,0
UTTAR PRADESH,KUSHI NAGAR,2005,41,35,6,0,6,22,16,6,16,11,32,23,0
UTTAR PRADESH,LALITPUR,2005,21,3,1,0,1,2,1,1,1,4,32,4,0
UTTAR PRADESH,LUCKNOW,2005,194,156,51,0,51,150,136,14,44,71,204,281,0
UTTAR PRADESH,MAHARAJGANJ,2005,30,13,9,0,9,15,14,1,9,14,21,6,0
